logFC	AveExpr	t	P.Value	adj.P.Val	B
LST1	1.9775430952381	6.51456956521739	5.25444810077003	4.39424063069818e-06	1.85999603415796e-05	3.97703638385175
ATG3	-1.08495880952381	9.15818043478261	-5.24050977598504	4.60122278995254e-06	1.93735696419054e-05	3.93245081136139
CNTNAP2	-1.48005119047619	8.8655347826087	-5.23826391862696	4.63546527473352e-06	1.94155613601404e-05	3.92526905434335
PRKACB	-1.58798333333333	11.3091652173913	-5.23315376642354	4.71432318314217e-06	1.96430132630924e-05	3.9089302443664
PIK3R5	3.08919738095238	5.31281956521739	5.22581345042718	4.82992696388261e-06	1.99288408088275e-05	3.88546657605997
VIM	1.85265714285715	10.2319913043478	5.22563676813616	4.83274389614067e-06	1.99288408088275e-05	3.88490188589912
TRAF1	1.33110333333334	6.41778043478261	5.22025120134588	4.91939387547496e-06	2.01821287198973e-05	3.86769108557205
GRN	1.50725428571429	8.7156	5.2127022417754	5.04344728763492e-06	2.05854991332038e-05	3.84357284395258
CYP27A1	1.85764023809524	7.23697608695652	5.20775802852265	5.12637051542178e-06	2.08177482859768e-05	3.82778045939466
ATM	1.37913476190476	10.144102173913	5.18204445446204	5.579897720854e-06	2.24317496315739e-05	3.745699171331
VAV1	2.0909130952381	5.0167847826087	5.17401620554489	5.72947272736919e-06	2.28038715517182e-05	3.72008958929451
LRRC25	2.57457928571429	5.1824652173913	5.15674754148811	6.06478998247733e-06	2.39160903056319e-05	3.66503274598485
DOCK2	2.54640047619048	5.89195652173913	5.15655140689783	6.0687079150541e-06	2.39160903056319e-05	3.66440764938536
TIMP1	2.29508904761904	8.1463	5.14784587138336	6.24515383019202e-06	2.44907993340863e-05	3.6366676577233
MAVS	1.37996214285714	8.37109565217391	5.13561020304095	6.50176238650244e-06	2.53727312643997e-05	3.59769644512317
MSN	1.78624047619048	8.65892173913043	5.11984095834516	6.84791834626267e-06	2.6593857655389e-05	3.54750109547358
JAG1	1.51790071428571	5.84402391304348	5.09948589347225	7.32181581105367e-06	2.82968726997243e-05	3.48276011881799
HLA-E	1.71422976190476	9.16122608695652	5.06908698523909	8.09056229008228e-06	3.11175472695472e-05	3.3861844771111
IRF7	2.42092357142857	6.09628913043478	5.04999552335255	8.61361094965411e-06	3.29707596159009e-05	3.32560125648866
SYK	2.18095714285715	5.23703260869565	5.04643472759697	8.71480059006997e-06	3.31992403431237e-05	3.3143077469922
CYP7B1	-1.27295142857143	7.39880652173913	-5.03500846424282	9.04750944027796e-06	3.43033533280681e-05	3.27808083528321
PIK3R2	1.18229214285714	9.45503043478261	5.01833381153195	9.55568435160414e-06	3.58898942783254e-05	3.22524961883365
MSR1	4.11758857142857	6.77827608695652	5.00658973485698	9.93042163067848e-06	3.69504060676409e-05	3.18806595552968
AXL	1.72188571428572	8.583	4.99984127697296	1.01522858504092e-05	3.76010587052192e-05	3.16670896655139
CD163	3.54854904761905	5.35227173913044	4.97701993688496	1.09394645144024e-05	4.01448239060637e-05	3.09453907273589
ANXA1	2.08787404761905	7.53797826086956	4.96097697113376	1.15286195923274e-05	4.21136788760819e-05	3.04385494567583
HDAC1	1.21215190476191	7.38874782608696	4.95270084635201	1.18446881521967e-05	4.30457859678534e-05	3.01772474761976
PLD2	1.25160119047619	5.35824130434783	4.95012689676252	1.194472122218e-05	4.30457859678534e-05	3.00960030691902
BOK	1.63510880952381	8.46122391304348	4.95011448493051	1.19452056060793e-05	4.30457859678534e-05	3.00956113272344
TREM2	2.32919142857143	5.00610434782609	4.9199146096577	1.31830848755284e-05	4.708244598403e-05	2.91432005610857
PADI2	1.93894047619048	6.93938260869565	4.90832674015081	1.36909614517449e-05	4.86789740506484e-05	2.87781617267855
SLCO2B1	2.00975452380952	8.33875652173913	4.90096114324858	1.40237679874693e-05	4.96081766425194e-05	2.85462510903727
CSF3R	2.65241642857143	6.03538043478261	4.89981386165832	1.40763201223149e-05	4.96081766425194e-05	2.85101365518866
TGM1	1.87136309523809	5.56547826086957	4.8913608029338	1.44695541727004e-05	5.06897338155126e-05	2.8244118074503
RAB7A	-1.86702428571428	10.5384086956522	-4.89050560480097	1.45099363046905e-05	5.06897338155126e-05	2.82172117955398
TRIM47	1.53231476190476	7.64925	4.88432550744847	1.48050810059858e-05	5.14959339338637e-05	2.80228110592056
